0;NACECode;UnitOp;ProductCode;Product;E_EnergyInt_MIN-PC;E_EnergyInt_MAX-PC;E_EnergyInt_TARG-PC;E_EnergyInt_MIN-T;E_EnergyInt_MAX-T;E_EnergyInt_TARG-T;E_SEC min;E_SEC max;E_SEC_TARG;E_Unit;H_EnergyInt_MIN-PC;H_EnergyInt_MAX-PC;H_EnergyInt_TARG-PC;H_EnergyInt_MIN-T;H_EnergyInt_MAX-T;H_EnergyInt_TARG-T;H_SEC min;H_SEC max;H_SEC_TARG;H_Unit;T_EnergyInt_MIN-PC;T_EnergyInt_MAX-PC;T_EnergyInt_TARG-PC;T_EnergyInt_MIN-T;T_EnergyInt_MAX-T;T_EnergyInt_TARG-T;T_SEC min;T_SEC max;T_SEC_TARG;T_Unit;Comments;YearReference;References;Literature;DataRelevance;TurnoverMin;TurnoverMax;ProductionMin;ProductionMax;ProductionUnit
36;DA15.3;501;DA020;Tomatoe Juice, puree and paste;;;;;;;;;;;;;;;;;60;80;60;;;;;;;;;;;kg steam/t;"All figures are referred to 1 t of 28 – 30 Brix tomato puree. Conversion coefficients for other final products: 7 – 12 Brix puree – multiply by 0.3; 20 – 22 Brix puree – multiply by 0.7, 36 – 40 Brix puree – multiply by 1.3";2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
37;DA15.3;301;DA020;Tomatoe Juice, puree and paste;;;;;;;;;;;;;;;;;1500;1800;1500;;;;;;;;;;;kg steam/t;"All figures are referred to 1 t of 28 – 30 Brix tomato puree. Conversion coefficients for other final products: 7 – 12 Brix puree – multiply by 0.3; 20 – 22 Brix puree – multiply by 0.7, 36 – 40 Brix puree – multiply by 1.3";2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
38;DA15.3;1701;DA020;Tomatoe Juice, puree and paste;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;kg steam/t;"All figures are referred to 1 t of 28 – 30 Brix tomato puree. Conversion coefficients for other final products: 7 – 12 Brix puree – multiply by 0.3; 20 – 22 Brix puree – multiply by 0.7, 36 – 40 Brix puree – multiply by 1.3";2001; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[89, Italian contribution, 2001; 184, Italy, 2003
""Consumption & emission data for meat and fruit and
vegetables sectors"", personal communication; ""Comments on the second draft"".";data for Italy
39;DA15.3;112;DA020;Frozen vegetables;;;;;;;20;65;20;;;;;;;;;;;;;;;;;;;;;kWhe/m3 storage/year;;;;;
40;DA15.3;112;DA020;Frozen vegetables;;;;;;;;;;;;;;;;;;;26389;;;;;;;;;;;kWh/m2 storage/year;;;;;
41;DA15.3;1801;DA020;Frozen vegetables;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;kWhe/t;Electricity consumption during the sorting of vegetables;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
42;DA15.3;1801;DA020;Frozen vegetables;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;kWhe/t;Electricity consumption during the sorting of vegetables;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
43;DA15.3;1801;DA020;Frozen vegetables;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;kWhe/t;Electricity consumption during the sorting of vegetables;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
44;DA15.3;1801;DA020;Frozen vegetables;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;kWhe/t;Electricity consumption during the sorting of vegetables;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
45;DA15.3;1801;DA020;Frozen vegetables;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;kWhe/t;Electricity consumption during the sorting of vegetables;1998; EU-IPPC BREFS Food, Drink and Milk Industries;"BREF Food, Drink and Milk Industries[32, Van Bael J., 1998]
""Memorandum on Energy Consumption in the Flemish Frozen
Vegetable Sector"", VITO";
