Index;Code;Description;Unit;HelpText;DataType;DefaultValue;MinValue;MaxValue;Required
0915;RoofStaticLoadCap;static load capacity of the roof(s);kg/mý;;;;;;
0916;EnclBuildGroundSketch;Enclosing of drawing or scheme of building?;yes/no;;;;;;
0920;;Biomass;;;;;;;
0921;BiomassFromProc;Type of biomass available from processes;-;;;;;;
0922;PeriodBiomassProcStart;Period of year the biomass is available - start;;;;;;;
0923;PeriodBiomassProcStop;Period of year the biomass is available - stop;;;;;;;
0924;NDaysBiomassProc;Number of days biomass is produced;days;;;;;;
0925;QBiomassProcDay;Daily quantity of biomass;t/day;;;;;;
0926;SpaceBiomassProc;Space availability to stock biomass;m3;;;;;;
0927;LCVBiomassProc;LCV biomass;kWh/kg;;;;;;
0928;HumidBiomassProc;Humidity;%;;;;;;
0929;BiomassFromRegion;Type of biomass available from the region;-;;;;;;
0930;PriceBiomassRegion;Unit price of biomass;?/t;;;;;;
0931;PeriodBiomassRegionStart;Period of year the biomass is available - start;;;;;;;
0932;PeriodBiomassRegionStop;Period of year the biomass is available - stop;;;;;;;
0933;NDaysBiomassRegion;Number of days the biomass is produced;days;;;;;;
1000;;Economic parameters used in the economic analysis and the comparative analysis of possible alternatives;;;;;;;
1001;InflationRate;General inflation rate;%;;;;;;
1002;FuelPriceRate;Rate of increment of energy prices;%;;;;;;
1003;InterestExtFinancing;Nominal rate of interest for external financing of installations ;%;;;;;;
1004;PercentExtFinancing;Percentage of external financing for installations;%;;;;;;
1005;AmortisationTime;Time for economic amortisation of installations;years;;;;;;
1007;PublicFundType;Type (credit, subvention);;;;;;;
1008;OMGenTot;General maintenance - total costs;?/year;;;;;;
1009;OMGenOP;General maintenance - own personnel;?/year;;;;;;
1010;OMGenEP;General maintenance - external personnel;?/year;;;;;;
1011;OMGenFung;General maintenance - fungible assets;?/year;;;;;;
1012;OMBuildTot;Buildings - total costs;?/year;;;;;;
1013;OMBuildOP;Buildings - own personnel;?/year;;;;;;
1014;OMBuildEP;Buildings - external personnel;?/year;;;;;;
1015;OMBiuildFung;Buildings - fungible assets;?/year;;;;;;
1016;OMMachEquipTot;Machines and equipment - total costs;?/year;;;;;;
1017;OMMachEquipOP;Machines and equipment - own personnel;?/year;;;;;;
1018;OMMachEquipEP;Machines and equipment  - external personnel;?/year;;;;;;
1019;OMMachEquipFung;Machines and equipment  - fungible assets;?/year;;;;;;
1020;OMHCGenDistTot;Generation and distribution of heat and cold - total costs;?/year;;;;;;
1021;OMHCGenDistOP;Generation and distribution of heat and cold - own personnel;?/year;;;;;;
1022;OMHCGenDistEP;Generation and distribution of heat and cold  - external personnel;?/year;;;;;;
1023;OMHCGenDistFung;Generation and Distribution of heat and cold  - fungible assets;?/year;;;;;;
1024;OMTotalTot;Total - total costs;?/year;;;;;;
1025;OMTotalOP;Total - own personnel;?/year;;;;;;
1026;OMTotalEP;Total - external personnel;?/year;;;;;;
1027;OMTotalFung;Total - fungible assets;?/year;;;;;;
1028;EnergyManagExisting;Is there any energy menagement system implemented?;yes/no;;;;;;
1029;EnergyManagExternal;Is the energy menagent externalized?;yes/no;;;;;;
P001;PEConvEl;Conversion to primary energy of electricity;kWhEP/kWh;;;;;;
P002;CO2ConvEl;Specific CO2 emission of electricity;t-CO2/kWh;;;;;;
P003;HRInvRate;Specific investment cost for heat recovery system;?/(kW/K);;;;;;
P004;HROMRate;Specific annual O&M cost for heat recovery system;?/(kW/K);;;;;;
P005;FeedInCHP;Feedin Tariff for CHP Electricity;?/MWh;;;;;;
P006;SolarInvRateL;Specific turn-key installation cost large systems ( > 1 MW);?/kW;;;;;;
P007;SolarInvRateS;Specific turn-key installation cost small systems (< 10 kW);?/kW;;;;;;
P008;SolarOMRate;specific yearly O&M costs;?/kW;;;;;;
P009;SolarFunding;Percentage of public funding;-;;;;;;
P010;QuSolar;Specifc solar useful heat production;kWh/kW;;;;;;
P011;Inflation;Inflaci¢ general;;;;;;;
P012;InflationFuels;Increment previst preu de combustible (nominal);;;;;;;
P013;InterestRate;Interest rate for external financing;;;;;;;
P014;ExternalFinance;Percentage of external financing;;;;;;;
P015;Amortisation;Amortisation period;;;;;;;
P016;Annuity;Annuity of investment;;;;;;;
P017;EEFunding;Public funding for energy saving measures;;;;;;;
E100;;Benchmark data;;;;;;;
E101;PE_INT_BML;benchmark (lower limit);[kWh/?];;;;;;
E102;PE_INT_BMH;benchmark (upper limit);[kWh/?];;;;;;
E103;PE_INT_TAR;target;[kWh/?];;;;;;
E104;PE_INT_REF;reference code selected benchmark and target;[kWh/?];;;;;;
E105;EL_INT_BML;benchmark (lower limit);;;;;;;
E106;EL_INT_BMH;benchmark (upper limit);;;;;;;
E107;EL_INT_TAR;target;;;;;;;
E108;EL_INT_REF;reference code selected benchmark and target;;;;;;;
E109;FUEL_INT_BML;benchmark (lower limit);;;;;;;
E110;FUEL_INT_BMH;benchmark (upper limit);;;;;;;
E111;FUEL_INT_TAR;target;;;;;;;
E112;FUEL_INT_REF;reference code selected benchmark and target;;;;;;;
E113;PE_SEC_BML;benchmark (lower limit);;;;;;;
E114;PE_SEC_BMH;benchmark (upper limit);;;;;;;
E115;PE_SEC_TAR;target;;;;;;;
E116;PE_SEC_REF;reference code selected benchmark and target;;;;;;;
E117;EL_SEC_BML;benchmark (lower limit);;;;;;;
E118;EL_SEC_BMH;benchmark (upper limit);;;;;;;
E119;EL_SEC_TAR;target;;;;;;;
E120;EL_SEC_REF;reference code selected benchmark and target;;;;;;;
